animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel,
52151,TAAAG1070611003,15,71,嘉義市流浪動物收容所,狗,M,BIG,黑虎斑色,,F,F,大溪街,,OPEN,,,2018-06-11,2999-12-31,2018/06/11,2018/06/11,嘉義市流浪動物收容所,http://asms.coa.gov.tw/amlapp/upload/pic/283ce9a5-7a1a-4c8f-bde5-d790ec0ff80d_org.jpg,,2018/06/11,嘉義市彌陀路101號旁(環保局停車場內),05-2168661,
52204,RAAAG1070612001,8,62,新竹市動物收容所,狗,F,MEDIUM,黑色,,F,F,吉羊路,,OPEN,,,2018-06-12,2999-12-31,2018/06/12,2018/06/12,新竹市動物收容所,,,2018/06/12,新竹市南寮里海濱路250號,03-5368329,
52236,AAAEG1070612010,3,53,新北市中和區公立動物之家,狗,M,MEDIUM,黑黃色,CHILD,F,F,永寧路,,OPEN,,1070612m113,2018-06-12,2999-12-31,2018/06/12,2018/06/12,新北市中和區公立動物之家,http://asms.coa.gov.tw/amlapp/upload/pic/5f315a9f-12ed-45d3-943e-e65724dd358d_org.jpg,,2018/06/12,新北市中和區興南路三段100號,02-86685547,
52263,AAAHG1070613002,3,58,新北市五股區公立動物之家,貓,M,MEDIUM,黑白色,CHILD,F,F,中埔五街,,OPEN,因體質問題，認養退回,,2018-06-13,2999-12-31,2018/06/13,2018/06/13,新北市五股區公立動物之家,,,2018/06/13,新北市五股區外寮路9之9號,02-82925265,
52457,AAAEG1070613009,3,53,新北市中和區公立動物之家,狗,M,MEDIUM,黑色,ADULT,T,F,承天路71巷,,OPEN,,1070613m115,2018-06-20,2999-12-31,2018/06/13,2018/06/13,新北市中和區公立動物之家,http://asms.coa.gov.tw/amlapp/upload/pic/b97012ba-4800-4e99-b1e9-83dd052af891_org.jpg,,2018/06/13,新北市中和區興南路三段100號,02-86685547,
52527,TAAAG1070612002,15,71,嘉義市流浪動物收容所,狗,M,BIG,黃色,,F,F,聖馬爾醫院,,OPEN,,,2018-06-12,2999-12-31,2018/06/14,2018/06/12,嘉義市流浪動物收容所,,,2018/06/14,嘉義市彌陀路101號旁(環保局停車場內),05-2168661,
52539,TAAAG1070614001,15,71,嘉義市流浪動物收容所,貓,M,SMALL,虎斑白色,,F,F,貴州街,,OPEN,,,2018-06-13,2999-12-31,2018/06/14,2018/06/13,嘉義市流浪動物收容所,http://asms.coa.gov.tw/amlapp/upload/pic/d22af27d-8cd2-47f0-af88-144b335c112d_org.jpg,,2018/06/14,嘉義市彌陀路101號旁(環保局停車場內),05-2168661,
52998,AAAEG1070619006,3,53,新北市中和區公立動物之家,貓,F,MEDIUM,虎斑色,ADULT,F,F,中央路1段118巷,,OPEN,,,2018-06-19,2999-12-31,2018/06/19,2018/06/19,新北市中和區公立動物之家,http://asms.coa.gov.tw/amlapp/upload/pic/354132b8-d9c6-4a99-b3e1-e4f2ad65b713_org.jpg,,2018/06/19,新北市中和區興南路三段100號,02-86685547,
52982,GAAAG10706190002,11,69,彰化縣流浪狗中途之家,狗,M,MEDIUM,黑色,ADULT,F,F,孔門路附近,,OPEN,,,,2999-12-31,2018/06/19,2018/06/19,彰化縣流浪狗中途之家,,,2018/06/19,彰化縣員林鎮大峰里阿寶巷426號,04-8590638,
53158,AAAEG1070620001,3,53,新北市中和區公立動物之家,貓,F,SMALL,黑白色,CHILD,F,F,中和區,,OPEN,,,2018-06-20,2999-12-31,2018/06/20,2018/06/20,新北市中和區公立動物之家,http://asms.coa.gov.tw/amlapp/upload/pic/b19116e6-2b26-4a26-80e0-d82eb21df08a_org.jpg,,2018/06/20,新北市中和區興南路三段100號,02-86685547,
